Date,Open,High,Low,Close,Adj Close,Volume
20/03/2018,21297.98047,21592,20347.49023,20766.09961,20766.09961,367600000
27/03/2018,20958.90039,21597.4707,20776.82031,21388.58008,21388.58008,380000000
3/04/2018,21115.48047,21742.83984,21056.01953,21678.25977,21678.25977,356600000
10/04/2018,21599.66992,21933.99023,21542.36914,21835.5293,21835.5293,329100000
17/04/2018,21801.83008,22360.65039,21772.41992,22088.03906,22088.03906,341100000
24/04/2018,22228.82031,22495.56055,22080.75977,22467.86914,22467.86914,311700000
1/05/2018,22453.41992,22568.18945,22350.91016,22467.16016,22467.16016,229600000
8/05/2018,22440.65039,22894.75977,22364.75,22865.85938,22865.85938,385400000
15/05/2018,22889.4707,23050.39063,22695.83984,23002.36914,23002.36914,366600000
22/05/2018,23025.94922,23031.66992,22318.15039,22481.08984,22481.08984,343300000
29/05/2018,22431.94922,22515.7207,21931.65039,22475.93945,22475.93945,437100000
5/06/2018,22552.16992,22879,22470.03906,22804.03906,22804.03906,346800000
12/06/2018,22977.2207,23011.57031,22601.13086,22680.33008,22680.33008,346500000
19/06/2018,22565.91992,22782.00977,22167.16016,22338.15039,22338.15039,390800000
26/06/2018,22160.33008,22368.7793,21784.48047,21811.92969,21811.92969,342100000
3/07/2018,21889.06055,22105.94922,21462.94922,22052.17969,22052.17969,338200000
10/07/2018,22215.33984,22692.85938,21744.25,22597.34961,22597.34961,302600000
17/07/2018,22605.73047,22949.32031,22341.86914,22396.99023,22396.99023,352400000
24/07/2018,22555.05078,22717.15039,22416.23047,22544.83984,22544.83984,348100000
31/07/2018,22472.11914,22775.4707,22352.21094,22507.32031,22507.32031,449400000
7/08/2018,22514.31055,22800.60938,21851.32031,21857.42969,21857.42969,355700000
14/08/2018,22053.07031,22380.2793,21871.69922,22199,22199,301700000
21/08/2018,22110.53906,22838.06055,22053.14063,22799.64063,22799.64063,262300000
28/08/2018,22967.74023,23032.16992,22678.0293,22707.38086,22707.38086,311400000
4/09/2018,22740.05078,22753.17969,22172.90039,22373.08984,22373.08984,305400000
